CNPJ;Ano;Trimestre;ValorDespesas
327417;2024;3T2024;1041921248.66
327417;2024;4T2024;1337719633.98
327441;2024;4T2024;12424612.01
327468;2024;2T2024;48694914.04
327468;2024;3T2024;69735526.75
327557;2024;2T2024;254970952.09
327557;2024;3T2024;417096542.79
327557;2024;4T2024;550413838.0
327638;2024;2T2024;48134567.8
327638;2024;3T2024;75528089.51
327638;2024;4T2024;99600716.03
327689;2024;2T2024;2453977254.91
327689;2024;3T2024;3664197546.36
327689;2024;4T2024;4785778911.43
327867;2024;4T2024;14249289.25
328031;2024;2T2024;1182382.76
328031;2024;3T2024;1125805.76
328073;2024;2T2024;162262042.88
328073;2024;3T2024;219602072.01
328073;2024;4T2024;207205271.62
328294;2024;2T2024;337957070.3
328294;2024;3T2024;519834472.69
328294;2024;4T2024;651055513.52
328308;2024;2T2024;99052278.17999999
328308;2024;3T2024;150715065.27
328308;2024;4T2024;197137668.78
328375;2024;2T2024;75475344.33
328375;2024;3T2024;108856367.33
328375;2024;4T2024;145566951.78
328537;2024;2T2024;315151057.2
328537;2024;3T2024;492014659.39
328537;2024;4T2024;681644715.83
329339;2024;2T2024;908871858.11
329339;2024;3T2024;1358846652.39
329339;2024;4T2024;1778498615.69
329355;2024;2T2024;108282235.32000001
329355;2024;3T2024;169143719.02
329355;2024;4T2024;224190754.45
329665;2024;2T2024;95796656.23
329665;2024;3T2024;151237821.4
329665;2024;4T2024;204358445.15
329886;2024;2T2024;258354903.52
329886;2024;3T2024;384837082.23
329886;2024;4T2024;521037651.65
329967;2024;4T2024;1809635.35
330108;2024;2T2024;308223160.18
330108;2024;3T2024;456899867.39
330108;2024;4T2024;607566407.6800001
330116;2024;2T2024;117709087.21000001
330116;2024;3T2024;170713340.04
330116;2024;4T2024;219628238.33
330264;2024;2T2024;307204948.67
330264;2024;3T2024;459945714.45
330264;2024;4T2024;623055917.42
330281;2024;2T2024;113543937.86
330281;2024;3T2024;171471641.29999998
330281;2024;4T2024;238509059.48
330566;2024;2T2024;325239760.92
330566;2024;3T2024;483853741.14
330566;2024;4T2024;588400545.14
330809;2024;2T2024;264197111.92
330809;2024;3T2024;405889309.62
330809;2024;4T2024;533376646.04
330892;2024;2T2024;58735621.33
330892;2024;3T2024;85080374.95
330892;2024;4T2024;114106457.17
331104;2024;4T2024;13954350.709999999
331317;2024;2T2024;1003530493.0
331317;2024;3T2024;1532697650.04
331317;2024;4T2024;2001735795.66
331341;2024;2T2024;575393138.46
331341;2024;3T2024;868066670.87
331341;2024;4T2024;1148035796.0
331651;2024;2T2024;253925169.72
